scenario,group,n,MAE,bias,P90_abs_error,true_minutes,coverage80,coverage80_conf,mean_ci_width,mean_ci_width_conf
cont_30,continuous,24,28.80541666666667,-18.47458333333333,30.0,30.0,0.8333333333333334,0.7272727272727273,85.33875,85.33916666666666
cont_60,continuous,24,33.439166666666665,-19.790000000000003,60.0,60.0,1.0,1.0,123.56416666666667,123.56333333333333
cont_120,continuous,24,28.823333333333334,-22.2175,67.55,120.0,1.0,1.0,167.38208333333333,167.38166666666666
cont_180,continuous,24,29.289583333333336,-21.139583333333334,74.85,180.0,1.0,1.0,145.12375,145.12416666666667
cont_240,continuous,19,41.89578947368421,-41.89578947368421,114.31,240.0,1.0,1.0,108.61684210526315,108.61684210526317
frag_2x60,fragmented,24,40.92541666666667,-32.34458333333333,87.09,120.0,1.0,1.0,159.21541666666667,159.21541666666667
frag_4x30,fragmented,24,46.78791666666667,-36.28625,95.04,120.0,1.0,1.0,160.51375,160.51416666666668
stress_baseline_120,stress,24,26.550416666666667,-16.682916666666667,59.81,120.0,1.0,1.0,172.3970833333333,172.39874999999998
stress_g0.7x_120,stress,24,61.526250000000005,-61.526250000000005,105.07,120.0,0.875,0.8333333333333334,138.33416666666668,138.335
stress_g1.3x_120,stress,24,29.946250000000003,18.164583333333333,55.53,120.0,1.0,1.0,158.57666666666668,158.57666666666668
stress_noise_120,stress,24,27.632499999999997,-21.5125,81.24,120.0,1.0,1.0,162.90916666666666,162.90916666666666
stress_phi_hi_120,stress,24,56.02916666666667,52.435,94.37,120.0,0.5,0.6666666666666666,131.34708333333333,131.3475
