scenario,group,n,MAE,bias,P90_abs_error,true_minutes,coverage80,coverage80_conf,mean_ci_width,mean_ci_width_conf
cont_30,continuous,24,28.120833333333334,-21.688333333333333,30.0,30.0,0.375,0.45454545454545453,29.881249999999998,29.881666666666664
cont_60,continuous,24,46.03125,-37.02041666666667,60.0,60.0,0.8333333333333334,0.6666666666666666,87.32583333333334,87.32541666666667
cont_120,continuous,24,30.405416666666667,-18.894583333333333,68.2,120.0,1.0,1.0,170.5625,170.56166666666667
cont_180,continuous,24,32.39541666666667,-16.312083333333334,75.5,180.0,1.0,1.0,142.52958333333333,142.52958333333333
cont_240,continuous,19,41.75736842105263,-41.75736842105263,114.96,240.0,0.9473684210526315,1.0,105.78526315789475,105.78473684210526
frag_2x60,fragmented,24,46.93333333333334,-35.4225,90.88,120.0,0.9583333333333334,0.9,158.995,158.99583333333334
frag_4x30,fragmented,24,56.875416666666666,-45.364583333333336,110.33,120.0,0.9166666666666666,1.0,151.11791666666667,151.1175
stress_baseline_120,stress,24,29.14125,-13.095416666666667,60.46,120.0,1.0,1.0,173.80791666666667,173.80875
stress_g0.7x_120,stress,24,71.02291666666666,-70.42208333333333,120.0,120.0,0.625,0.5,128.56583333333333,128.56625
stress_g1.3x_120,stress,24,34.529583333333335,22.500416666666666,61.83,120.0,0.9583333333333334,1.0,158.58291666666665,158.58208333333334
stress_noise_120,stress,24,29.2075,-18.710833333333333,81.89,120.0,1.0,1.0,164.84958333333333,164.84916666666666
stress_phi_hi_120,stress,24,60.12083333333334,56.403333333333336,98.05,120.0,0.5,0.6666666666666666,129.10208333333333,129.10291666666666
