subject_id,room_type,n_days,mean_daily_minutes,median_daily_minutes,sd_daily_minutes,mean_daily_p10,mean_daily_p90,mean_uncertainty
96,single,7,938.361805517564,990.8710847888376,342.0160907262167,203.77058592638716,1158.1952142328114,181.24653039154106
151,single,7,890.8634523557602,770.2836093069602,229.2613462101561,184.61405872608717,1143.605782329148,178.9714612679341
471,single,6,418.7039125256735,478.13084538867446,175.54170875185432,230.68627594559385,631.8013203322381,70.53115851264486
472,single,6,330.1648466547802,409.60889989473026,221.09829962401744,189.12571193559756,478.18509127883476,68.07171681984202
474,single,6,321.26747020868794,405.006846943176,214.62065932608243,171.27344428211802,554.5049340919934,65.02244138492527
133,shared,6,315.7612056575892,317.3680674421529,152.94649549444395,161.10917281098833,591.0913825213565,90.91444960506008
132,shared,6,299.8105071677224,286.36690818511363,101.0747910531023,146.07567712442471,588.3360272680853,90.72511088685182
508,single,4,233.7244129186521,209.7547141180254,119.21876737709228,131.09653428834096,395.1028580694956,94.17308356410791
37,single,6,208.63590187349203,233.65355762631566,194.0704089514312,0.0,383.9006835337925,67.30927173158193
38,single,6,206.83804125843508,228.25997578114476,194.1816802828915,0.0,370.4786328502849,66.60358318113974
117,single,7,143.99110055030278,3.0638591082310587,222.01256730471715,82.97509261389207,253.4476855388179,32.28860962171921
154,single,7,143.95970640058277,3.0638591082310587,235.08952639065944,84.94914108244188,252.0195064589258,30.901993511091877
506,single,6,92.03972730516891,59.13698583616777,114.37134427962239,48.927491672178235,185.89740721395935,23.66358761550087
507,single,6,92.03972730516891,59.13698583616777,114.37134427962239,48.927491672178235,188.4629056122695,23.25590232334855
46,single,7,88.05955916011565,19.885458080672088,151.06395907355628,27.01421524136045,181.59016995694992,40.714657906047606
325,single,6,82.79335113451212,7.786078795715524,122.79220879204055,33.70612652185347,229.9036273856134,33.99304061175234
75,shared,6,63.46553302231749,37.73132473289091,71.61186625479665,1.4357141227722685,195.3091169194516,32.31223379944656
324,single,6,62.087871835095655,43.72131578060917,74.75000183037925,17.90428977898088,186.2548330536583,50.771747112147246
76,shared,6,58.66092474445987,37.73132473289091,67.12375647703611,1.4357141227722685,181.41950919371985,32.31223379944656
399,shared,7,54.732704442730785,0.20511942407597616,74.37422307521874,19.557859060409168,109.33407181183027,18.353609574433644
400,shared,7,54.732704442730785,0.20511942407597616,74.37422307521874,19.557859060409168,109.33407181183027,18.562056178192595
73,single,6,7.544119929657543,0.0,18.4792443860223,0.0,33.2503045737684,5.541717428961401
95,single,6,7.544119929657543,0.0,18.4792443860223,0.0,27.375354388519167,5.541717428961401
42,single,1,0.0,0.0,,0.0,48.75136169469041,24.375680847345205
