parameter,param_value,mean_minutes_label1,median_minutes_label1,n_blocks
phi,0.9,105.26284493205264,26.977846774060716,535
phi,0.92,100.2556877812308,36.92181456361948,535
phi,0.94,87.76797483771344,13.986683859671267,535
phi,0.96,65.84774490765274,0.0,535
phi,0.97,59.89989110446736,0.0,535
phi,0.98,47.92314952083607,0.0,535
phi,0.99,33.283872680562915,0.0,535
generation_multiplier,0.5,59.754848289452525,0.0,535
generation_multiplier,0.75,46.18449427964057,0.0,535
generation_multiplier,1.0,37.41952032096501,0.0,535
generation_multiplier,1.25,31.261091115847368,0.0,535
generation_multiplier,1.5,28.149466819865115,0.0,535
generation_multiplier,2.0,23.483885832185532,0.0,535
