scenario,group,n,MAE,bias,P90_abs_error,true_minutes,coverage80,mean_ci_width
cont_30,continuous,24,27.8,-22.2,30.0,30.0,0.2916666666666667,18.602083333333333
cont_60,continuous,24,40.90416666666667,-34.83,60.0,60.0,0.7083333333333334,78.98
cont_120,continuous,24,31.403750000000002,-25.25791666666667,74.64,120.0,1.0,167.54833333333332
cont_180,continuous,24,28.820833333333336,-21.230833333333333,81.94,180.0,1.0,143.20041666666665
cont_240,continuous,19,45.68052631578948,-45.68052631578948,121.41,240.0,0.9473684210526315,109.16368421052633
frag_2x60,fragmented,24,48.946666666666665,-42.80083333333334,98.12,120.0,0.9166666666666666,151.17916666666667
frag_4x30,fragmented,24,58.74666666666667,-52.600833333333334,120.0,120.0,0.9166666666666666,135.86708333333334
stress_baseline_120,stress,24,28.657083333333333,-19.312916666666666,66.9,120.0,1.0,169.88291666666666
stress_g0.7x_120,stress,24,76.0,-76.0,120.0,120.0,0.5416666666666666,117.705
stress_g1.3x_120,stress,24,33.045833333333334,18.174166666666668,55.25,120.0,1.0,155.98916666666668
stress_noise_120,stress,24,34.526666666666664,-18.2075,89.31,120.0,1.0,162.05083333333332
stress_phi_hi_120,stress,24,57.382083333333334,52.43375,94.09,120.0,0.4583333333333333,129.23749999999998
